Aayushi Gupta | Merge pull request #21 from aayushiii18/feature/gradio-ui
aayushiii18 | fix(deps): pin huggingface-hub<0.24.0 for gradio 4.21.0 compatibility
aayushiii18 | feat(ui): implement Gradio interface for CrowdFlow DNA
Aayushi Gupta | Merge pull request #20 from aayushiii18/feature/pipeline-module
aayushiii18 | feat(pipeline): implement end-to-end pipeline orchestration
Aayushi Gupta | Merge pull request #19 from aayushiii18/feature/rendering-module
aayushiii18 | feat(rendering): implement FrameAnnotator and TimelineBuilder
Aayushi Gupta | Merge pull request #18 from aayushiii18/feature/tracking-module
aayushiii18 | feat(tracking): implement ByteTracker with IoU association and TrackItem output
Aayushi Gupta | Merge pull request #17 from aayushiii18/feature/detection-module
aayushiii18 | feat(detection): implement Yolov8Detector with BoundingBox contract and filtering
Piyushh-Gupta | Merge pull request #16 from aayushiii18/feature/ingestion-module
aayushiii18 | fix(ci): add opencv-python-headless for Phase 1 Ingestion tests
aayushiii18 | feat(ingestion): implement VideoIngestor with validation and frame sampling
aayushiii18 | Merge main to get phase 0 scaffolding
Piyushh-Gupta | Merge pull request #15 from Piyushh-Gupta/fix/add-schemas
aayushiii18 | feat(core): add shared schema contracts
Aayushi Gupta | Merge pull request #14 from Piyushh-Gupta/feature/phase0-scaffolding
aayushiii18 | feat: complete Phase 0 shared scaffolding and contracts
Piyushh-Gupta | Merge pull request #13 from Piyushh-Gupta/feature/graph-builder
DevPiyush18 | refactor(graph): extract _compute_speed() from _build_node_features()
DevPiyush18 | refactor(graph): align GraphBuilder with Phase 5 training pipeline
DevPiyush18 | feat(graph): implement GraphBuilder for PyG data conversion
Piyushh-Gupta | Merge pull request #12 from Piyushh-Gupta/docs/update-agents
DevPiyush18 | docs: add Default Development Workflow section to AGENTS.md
Piyushh-Gupta | Merge pull request #11 from Piyushh-Gupta/feature/smoke-config
DevPiyush18 | fix: remove unused sys import in scaffold.py
DevPiyush18 | chore(config): ignore log files in gitignore
DevPiyush18 | chore(config): add smoke dataset configuration
Piyushh-Gupta | Merge pull request #10 from Piyushh-Gupta/feature/trajectoryrecord-docs
DevPiyush18 | docs(dataset): clarify risk_class vs frame_labels semantics in TrajectoryRecord
DevPiyush18 | fix(orchestration): replace unicode box drawing characters in _print_summary to fix cp1252 Windows console error
Piyushh-Gupta | Merge pull request #9 from Piyushh-Gupta/feature/generate-dataset
DevPiyush18 | feat(orchestration): implement generate_dataset() and _load_simulation_config()
Piyushh-Gupta | Merge pull request #8 from Piyushh-Gupta/feature/dataset-serializer
DevPiyush18 | feat(serialization): implement DatasetSerializer with JSON output and manifest
Piyushh-Gupta | Merge pull request #7 from Piyushh-Gupta/docs/add-markdown-files
DevPiyush18 | docs: add explicit AI instructions to AGENTS.md and WORKFLOW.md
Piyushh-Gupta | Merge pull request #6 from Piyushh-Gupta/docs/add-markdown-files
DevPiyush18 | docs: add new project documentation files
Piyushh-Gupta | Merge pull request #5 from Piyushh-Gupta/docs/format-review
DevPiyush18 | docs: add Development section to README linking AGENTS.md, WORKFLOW.md, CODING_STANDARDS.md
Piyushh-Gupta | Merge pull request #4 from Piyushh-Gupta/docs/format-review
DevPiyush18 | docs: format and consistency review of AGENTS.md, WORKFLOW.md, CODING_STANDARDS.md
Piyushh-Gupta | Merge pull request #3 from Piyushh-Gupta/feature/auto-labeler
DevPiyush18 | fix(ci): install project dependencies before lint and test
DevPiyush18 | feat(labeling): implement AutoLabeler with crowd metrics and priority-ordered rules
Piyushh-Gupta | Merge pull request #2 from Piyushh-Gupta/feature/simulation-runner
DevPiyush18 | refactor(simulation): replace global np.random.seed with local default_rng
DevPiyush18 | feat(simulation): implement SimulationRunner with PySocialForce integration
Piyushh-Gupta | Merge pull request #1 from Piyushh-Gupta/feature/scenario-factory
DevPiyush18 | feat(simulation): implement ScenarioFactory for Safe, Congesting, and Critical scenarios
DevPiyush18 | Fix: Remove unused imports to pass Ruff CI check
DevPiyush18 | feat: implement TrajectoryRecord.validate() and to_dict()
DevPiyush18 | Fix: Add valid CI workflow and placeholder test for Phase 0
DevPiyush18 | Initial commit: scaffold CrowdFlow DNA Phase 0
